,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,PG,0.12,0.15,0.1,0.14,0.1153846153846153
1,KO,0.1,0.12,0.08,0.1,0.0961538461538461
2,PEP,0.1,0.12,0.08,0.11,0.0961538461538461
3,WMT,0.08,0.1,0.08,0.09,0.0769230769230769
4,COST,0.1,0.1,0.1,0.1,0.0769230769230769
5,CL,0.06,0.07,0.07,0.07,0.0673076923076922
6,MDLZ,0.07,0.07,0.07,0.08,0.0673076923076922
7,GIS,0.06,0.06,0.06,0.06,0.0673076923076922
8,KMB,0.05,0.05,0.06,0.06,0.0576923076923076
9,EL,0.08,0.05,0.07,0.05,0.0576923076923076
10,HSY,0.06,0.04,0.05,0.05,0.0576923076923076
11,MKC,0.04,0.03,0.05,0.03,0.048076923076923
12,CHD,0.05,0.02,0.04,0.03,0.0384615384615384
13,K,0.02,0.01,0.05,0.02,0.0384615384615384
14,CLX,0.01,0.01,0.04,0.01,0.0384615384615384
